0| x0 | x1 | x2 | x3 | x4 | x5 | x6 | x7 | x8 | x9 | xA | xB | xC | xD | xE | xF 
0x | NOP | LD BC,nn | LD (BC),A | INC BC | INC B | DEC B | LD B,n | RLCA | LD (nn),SP | ADD HL,BC | LD A,(BC) | DEC BC | INC C | DEC C | LD C,n | RRCA 
1x | STOP | LD DE,nn | LD (DE),A | INC DE | INC D | DEC D | LD D,n | RLA | JR e | ADD HL,DE | LD A,(DE) | DEC DE | INC E | DEC E | LD E,n | RRA 
2x | JR NZ,e | LD HL,nn | LD (HL+),A | INC HL | INC H | DEC H | LD H,n | DAA | JR Z,e | ADD HL,HL | LD A,(HL+) | DEC HL | INC L | DEC L | LD L,n | CPL 
3x | JR NC,e | LD SP,nn | LD (HL-),A | INC SP | INC (HL) | DEC (HL) | LD (HL),n | SCF | JR C,e | ADD HL,SP | LD A,(HL-) | DEC SP | INC A | DEC A | LD A,n | CCF 
4x | LD B,B | LD B,C | LD B,D | LD B,E | LD B,H | LD B,L | LD B,(HL) | LD B,A | LD C,B | LD C,C | LD C,D | LD C,E | LD C,H | LD C,L | LD C,(HL) | LD C,A
5x | LD D,B | LD D,C | LD D,D | LD D,E | LD D,H | LD D,L | LD D,(HL) | LD D,A | LD E,B | LD E,C | LD E,D | LD E,E | LD E,H | LD E,L | LD E,(HL) | LD E,A 
6x | LD H,B | LD H,C | LD H,D | LD H,E | LD H,H | LD H,L | LD H,(HL) | LD H,A | LD L,B | LD L,C | LD L,D | LD L,E | LD L,H | LD L,L | LD L,(HL) | LD L,A 
7x | LD (HL),B | LD (HL),C | LD (HL),D | LD (HL),E | LD (HL),H | LD (HL),L | HALT | LD (HL),A | LD A,B | LD A,C | LD A,D | LD A,E | LD A,H | LD A,L | LD A,(HL) | LD A,A 
8x | ADD B | ADD C | ADD D | ADD E | ADD H | ADD L | ADD (HL) | ADD A | ADC B | ADC C | ADC D | ADC E | ADC H | ADC L | ADC (HL) | ADC A 
9x | SUB B | SUB C | SUB D | SUB E | SUB H | SUB L | SUB (HL) | SUB A | SBC B | SBC C | SBC D | SBC E | SBC H | SBC L | SBC (HL) | SBC A 
Ax | AND B | AND C | AND D | AND E | AND H | AND L | AND (HL) | AND A | XOR B | XOR C | XOR D | XOR E | XOR H | XOR L | XOR (HL) | XOR A 
Bx | OR B | OR C | OR D | OR E | OR H | OR L | OR (HL) | OR A | CP B | CP C | CP D | CP E | CP H | CP L | CP (HL) | CP A 
Cx | RET NZ | POP BC | JP NZ,nn | JP nn | CALL NZ,nn | PUSH BC | ADD n | RST 0x00 | RET Z | RET | JP Z,nn | CB op | CALL Z,nn | CALL nn | ADC n | RST 0x08 
Dx | RET NC | POP DE | JP NC,nn | | CALL NC,nn | PUSH DE | SUB n | RST 0x10 | RET C | RETI | JP C,nn | | CALL C,nn | | SBC n | RST 0x18 
Ex | LDH (n),A | POP HL | LD (C),A | | | PUSH HL | AND n | RST 0x20 | ADD SP,e | JP HL | LD (nn),A | | | | XOR n | RST 0x28 
Fx | LDH A,(n) | POP AF | LD A,(C) | DI | | PUSH AF | OR n | RST 0x30 | LD HL,SP+e | LD SP,HL | LD A,(nn) | EI | | | CP n | RST 0x38
